court_number,county_name,court_display_name
011,Adair,Adair County District Court
021,Adams,Adams County District Court
031,Allamakee,Allamakee County District Court
041,Appanoose,Appanoose County District Court
051,Audubon,Audubon County District Court
061,Benton,Benton County District Court
071,Black Hawk,Black Hawk County District Court
081,Boone,Boone County District Court
091,Bremer,Bremer County District Court
101,Buchanan,Buchanan County District Court
111,Buena Vista,Buena Vista County District Court
121,Butler,Butler County District Court
131,Calhoun,Calhoun County District Court
141,Carroll,Carroll County District Court
151,Cass,Cass County District Court
161,Cedar,Cedar County District Court
171,Cerro Gordo,Cerro Gordo County District Court
181,Cherokee,Cherokee County District Court
191,Chickasaw,Chickasaw County District Court
201,Clarke,Clarke County District Court
211,Clay,Clay County District Court
221,Clayton,Clayton County District Court
231,Clinton,Clinton County District Court
241,Crawford,Crawford County District Court
251,Dallas,Dallas County District Court
261,Davis,Davis County District Court
271,Decatur,Decatur County District Court
281,Delaware,Delaware County District Court
291,Des Moines,Des Moines County District Court
301,Dickinson,Dickinson County District Court
311,Dubuque,Dubuque County District Court
321,Emmet,Emmet County District Court
331,Fayette,Fayette County District Court
341,Floyd,Floyd County District Court
351,Franklin,Franklin County District Court
361,Fremont,Fremont County District Court
371,Greene,Greene County District Court
381,Grundy,Grundy County District Court
391,Guthrie,Guthrie County District Court
401,Hamilton,Hamilton County District Court
411,Hancock,Hancock County District Court
421,Hardin,Hardin County District Court
431,Harrison,Harrison County District Court
441,Henry,Henry County District Court
451,Howard,Howard County District Court
461,Humboldt,Humboldt County District Court
471,Ida,Ida County District Court
481,Iowa,Iowa County District Court
491,Jackson,Jackson County District Court
501,Jasper,Jasper County District Court
511,Jefferson,Jefferson County District Court
521,Johnson,Johnson County District Court
531,Jones,Jones County District Court
541,Keokuk,Keokuk County District Court
551,Kossuth,Kossuth County District Court
561,Lee,Lee County District Court
562,Lee,Lee County District Court
571,Linn,Linn County District Court
581,Louisa,Louisa County District Court
591,Lucas,Lucas County District Court
601,Lyon,Lyon County District Court
611,Madison,Madison County District Court
621,Mahaska,Mahaska County District Court
631,Marion,Marion County District Court
641,Marshall,Marshall County District Court
651,Mills,Mills County District Court
661,Mitchell,Mitchell County District Court
671,Monona,Monona County District Court
681,Monroe,Monroe County District Court
691,Montgomery,Montgomery County District Court
701,Muscatine,Muscatine County District Court
711,O'Brien,O'Brien County District Court
721,Osceola,Osceola County District Court
731,Page,Page County District Court
741,Palo Alto,Palo Alto County District Court
751,Plymouth,Plymouth County District Court
761,Pocahontas,Pocahontas County District Court
771,Polk,Polk County District Court
781,Pottawattamie,Pottawattamie County District Court
782,Pottawattamie,Pottawattamie County District Court
791,Poweshiek,Poweshiek County District Court
801,Ringgold,Ringgold County District Court
811,Sac,Sac County District Court
821,Scott,Scott County District Court
831,Shelby,Shelby County District Court
841,Sioux,Sioux County District Court
851,Story,Story County District Court
861,Tama,Tama County District Court
871,Taylor,Taylor County District Court
881,Union,Union County District Court
891,Van Buren,Van Buren County District Court
901,Wapello,Wapello County District Court
911,Warren,Warren County District Court
921,Washington,Washington County District Court
931,Wayne,Wayne County District Court
941,Webster,Webster County District Court
951,Winnebago,Winnebago County District Court
961,Winneshiek,Winneshiek County District Court
971,Woodbury,Woodbury County District Court
981,Worth,Worth County District Court
991,Wright,Wright County District Court
Sum,, County District Court
