court_number,county_name,chi_square,p_value,test_status,minimum_expected,number_below_5,percent_below_5,expected_total,observed_total,totals_difference,significant_unadjusted,p_value_adjusted_bh,significant_after_adjustment,assumption_flag
011,Adair,28.506053346247484,4.997501249375312e-4,Monte Carlo test completed,3.929624664879357,1,25,702.8277479892762,707,4.17225201072381,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
031,Allamakee,109.91444565043926,4.997501249375312e-4,Monte Carlo test completed,12.767101901788248,0,0,981.8677263695714,970,-11.867726369571415,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
061,Benton,36.14882974599841,4.997501249375312e-4,Monte Carlo test completed,5.88734255947753,0,0,1710.9575882444408,1731,20.042411755559215,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
071,Black Hawk,865.9689645568283,4.997501249375312e-4,Monte Carlo test completed,617.0931254721515,0,0,15858.200123617882,15741,-117.20012361788213,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
081,Boone,198.83555295055888,4.997501249375312e-4,Monte Carlo test completed,13.751312434378281,0,0,5570.35585720714,5593,22.644142792860293,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
091,Bremer,23.580066182104858,4.997501249375312e-4,Monte Carlo test completed,9.93604189811141,0,0,982.2544834153308,1005,22.74551658466919,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
101,Buchanan,31.167671704733568,4.997501249375312e-4,Monte Carlo test completed,8.292548564801391,0,0,1515.3698656615443,1524,8.630134338455719,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
111,Buena Vista,592.7080945395237,4.997501249375312e-4,Monte Carlo test completed,43.4824362742736,0,0,1297.1726497373872,1169,-128.17264973738725,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
121,Butler,24.210590428520728,4.997501249375312e-4,Monte Carlo test completed,1.5895710681244744,1,25,924.0706476030277,933,8.929352396972263,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
141,Carroll,42.95227640951088,4.997501249375312e-4,Monte Carlo test completed,3.512964941245022,1,25,1143.2685248130524,1168,24.73147518694759,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
151,Cass,53.27085404057998,4.997501249375312e-4,Monte Carlo test completed,15.524893097128894,0,0,1695.1078191814297,1695,-0.10781918142970426,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
161,Cedar,73.49459407276446,4.997501249375312e-4,Monte Carlo test completed,10.802278053299908,0,0,2433.93100441441,2464,30.068995585590073,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
171,Cerro Gordo,169.32790173364523,4.997501249375312e-4,Monte Carlo test completed,55.76233814974668,0,0,2768.008069056108,2744,-24.00806905610807,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
181,Cherokee,60.58116373177265,4.997501249375312e-4,Monte Carlo test completed,3.573448275862069,1,25,926.2710344827585,943,16.728965517241477,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
191,Chickasaw,42.875948897793265,4.997501249375312e-4,Monte Carlo test completed,4.395697467603964,1,25,1018.8347590412468,1020,1.165240958753202,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
201,Clarke,217.47479947354728,4.997501249375312e-4,Monte Carlo test completed,0.4108880149037466,1,25,761.6220244255846,743,-18.62202442558464,TRUE,5.559018243687145e-4,TRUE,Expected count below 1
211,Clay,90.19194445134936,4.997501249375312e-4,Monte Carlo test completed,4.614543466375069,1,25,1637.65020351133,1642,4.349796488670108,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
221,Clayton,26.599287326264776,4.997501249375312e-4,Monte Carlo test completed,3.770763533768295,1,25,955.6028919061896,958,2.3971080938104024,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
231,Clinton,303.7583655386669,4.997501249375312e-4,Monte Carlo test completed,79.10910348404946,0,0,8115.21505143944,8161,45.784948560560224,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
241,Crawford,559.1294434535482,4.997501249375312e-4,Monte Carlo test completed,20.329544756404744,0,0,2106.6490753824414,1989,-117.64907538244142,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
251,Dallas,294.40659589702835,4.997501249375312e-4,Monte Carlo test completed,127.24336840545347,0,0,4127.6886855364555,4141,13.311314463544477,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
281,Delaware,88.21901829580723,4.997501249375312e-4,Monte Carlo test completed,0.7566921061624331,1,25,990.4517598815354,1010,19.548240118464605,TRUE,5.559018243687145e-4,TRUE,Expected count below 1
