court_number,court_name,adj_total,jp_white,jp_black,jp_hisp,jp_asian,jp_aian,jp_mr,jp_nhpi,jp_other,jp_unk
011,Adair County District Court,715,97.76,0.56,0.00,0.42,0.14,0.28,0.00,0.84,0.00
021,Adams County District Court,661,97.28,0.30,0.15,0.76,0.00,0.61,0.00,0.30,0.61
031,Allamakee County District Court,994,95.88,0.50,0.10,0.60,0.50,0.70,0.00,1.41,0.30
041,Appanoose County District Court,836,97.13,0.60,0.00,0.96,0.48,0.48,0.00,0.00,0.36
051,Audubon County District Court,976,97.54,0.61,0.20,0.31,0.31,0.20,0.00,0.82,0.00
061,Benton County District Court,1761,97.44,0.28,0.06,0.17,0.28,0.97,0.06,0.62,0.11
071,Black Hawk County District Court,16467,82.67,9.63,0.21,2.50,0.25,1.74,0.33,2.36,0.31
081,Boone County District Court,5730,96.37,0.65,0.07,0.31,0.21,1.17,0.00,0.94,0.28
091,Bremer County District Court,1018,96.95,1.08,0.00,0.59,0.10,0.79,0.00,0.49,0.00
101,Buchanan County District Court,1546,97.41,0.52,0.00,0.52,0.13,0.71,0.00,0.52,0.19
111,Buena Vista County District Court,1329,76.45,1.05,1.05,7.52,0.30,0.83,1.58,10.76,0.45
121,Butler County District Court,945,97.99,0.32,0.00,0.21,0.11,0.42,0.11,0.42,0.42
131,Calhoun County District Court,581,96.39,1.03,0.00,0.34,0.00,0.86,0.17,1.20,0.00
141,Carroll County District Court,1186,96.96,0.76,0.17,0.51,0.08,0.76,0.00,0.67,0.08
151,Cass County District Court,1723,96.87,0.35,0.06,0.41,0.46,0.64,0.23,0.64,0.35
161,Cedar County District Court,2509,96.53,0.68,0.08,0.48,0.36,0.64,0.08,0.72,0.44
171,Cerro Gordo County District Court,2820,94.04,1.52,0.21,0.96,0.21,1.35,0.35,1.24,0.11
181,Cherokee County District Court,964,96.47,0.93,0.00,0.31,0.10,0.52,0.00,1.45,0.21
191,Chickasaw County District Court,1038,96.82,0.48,0.39,0.19,0.19,0.39,0.19,1.35,0.00
201,Clarke County District Court,794,88.16,0.88,2.64,0.88,0.63,1.13,0.38,4.41,0.88
211,Clay County District Court,1688,95.68,0.59,0.00,0.83,0.18,0.77,0.00,1.95,0.00
221,Clayton County District Court,972,98.05,0.21,0.00,0.31,0.00,0.41,0.00,0.41,0.62
231,Clinton County District Court,8395,93.46,2.63,0.13,0.56,0.29,1.36,0.14,1.20,0.23
241,Crawford County District Court,2177,81.03,1.33,7.12,1.61,0.23,0.60,0.05,7.72,0.32
251,Dallas County District Court,4308,88.56,2.79,0.46,4.04,0.21,1.39,0.07,2.32,0.16
261,Davis County District Court,694,97.41,0.43,0.14,0.43,0.43,0.58,0.00,0.58,0.00
271,Decatur County District Court,516,96.32,0.78,0.00,0.78,0.19,0.39,0.19,1.16,0.19
281,Delaware County District Court,1022,97.46,0.78,0.00,0.49,0.10,0.20,0.00,0.88,0.10
291,Des Moines County District Court,4324,90.68,4.69,0.21,0.99,0.28,1.80,0.12,1.04,0.19
301,Dickinson County District Court,1715,97.38,0.23,0.00,0.52,0.06,0.64,0.12,0.99,0.06
311,Dubuque County District Court,8790,94.15,2.38,0.06,1.05,0.15,0.84,0.30,0.96,0.13
321,Emmet County District Court,1311,94.51,0.53,0.53,0.53,0.23,0.61,0.00,2.82,0.23
331,Fayette County District Court,1262,96.83,0.79,0.08,0.32,0.08,0.95,0.08,0.79,0.08
341,Floyd County District Court,1224,93.95,1.80,0.00,1.63,0.33,0.90,0.00,1.14,0.25
351,Franklin County District Court,1153,94.54,0.52,0.61,0.35,0.35,0.69,0.00,2.78,0.17
361,Fremont County District Court,1758,96.59,0.63,0.00,0.46,0.28,0.74,0.06,0.91,0.34
371,Greene County District Court,1858,97.63,0.16,0.00,0.48,0.43,0.54,0.16,0.32,0.27
381,Grundy County District Court,1109,97.93,0.27,0.00,0.27,0.00,0.90,0.18,0.27,0.18
391,Guthrie County District Court,1036,96.33,0.48,0.19,0.39,0.19,0.58,0.00,1.16,0.68
401,Hamilton County District Court,765,93.99,0.26,0.26,1.70,0.26,0.78,0.00,2.61,0.13
411,Hancock County District Court,981,96.43,0.20,0.10,0.10,0.61,0.61,0.10,1.12,0.71
421,Hardin County District Court,742,95.28,0.40,0.27,1.08,0.40,0.67,0.00,1.62,0.27
431,Harrison County District Court,1541,97.53,0.26,0.06,0.39,0.39,0.58,0.06,0.45,0.26
441,Henry County District Court,894,93.40,1.23,0.89,1.23,0.34,1.45,0.00,1.23,0.22
451,Howard County District Court,1013,96.94,0.59,0.10,0.79,0.20,0.30,0.10,0.89,0.10
461,Humboldt County District Court,933,95.71,0.75,0.00,0.75,0.00,0.86,0.11,1.29,0.54
471,Ida County District Court,1010,97.62,0.10,0.10,0.00,0.10,0.89,0.10,0.89,0.20
481,Iowa County District Court,1479,96.62,0.54,0.07,0.20,0.34,1.15,0.00,0.68,0.41
491,Jackson County District Court,2251,97.11,0.58,0.09,0.31,0.27,0.89,0.36,0.27,0.13
501,Jasper County District Court,2233,95.75,0.85,0.04,0.81,0.31,0.81,0.13,0.76,0.54
511,Jefferson County District Court,742,93.80,1.21,0.13,2.02,0.13,0.81,0.13,1.48,0.27
521,Johnson County District Court,6083,82.26,7.38,0.08,4.98,0.23,1.81,0.10,2.71,0.44
531,Jones County District Court,1573,97.14,0.32,0.00,0.19,0.25,0.89,0.00,0.95,0.25
541,Keokuk County District Court,1414,97.88,0.35,0.00,0.28,0.14,0.50,0.00,0.85,0.00
551,Kossuth County District Court,1602,96.69,0.37,0.19,0.44,0.31,0.75,0.00,0.94,0.31
561,Lee County District Court,1492,92.63,3.89,0.20,0.40,0.20,1.74,0.00,0.67,0.27
562,Lee County District Court,1553,94.59,2.32,0.19,0.13,0.13,0.90,0.00,1.29,0.45
571,Linn County District Court,17696,88.52,5.35,0.11,2.05,0.29,1.75,0.18,1.47,0.27
581,Louisa County District Court,939,89.88,0.32,2.45,0.96,0.00,1.17,0.11,4.90,0.21
591,Lucas County District Court,519,97.30,0.39,0.39,0.19,0.00,1.16,0.00,0.58,0.00
601,Lyon County District Court,1394,97.49,0.14,0.14,0.14,0.07,0.93,0.07,0.86,0.14
611,Madison County District Court,1465,97.82,0.27,0.00,0.61,0.14,0.34,0.00,0.75,0.07
621,Mahaska County District Court,1650,96.91,0.79,0.00,0.42,0.12,0.97,0.00,0.73,0.06
631,Marion County District Court,1690,95.50,0.65,0.00,1.18,0.59,0.77,0.18,1.07,0.06
641,Marshall County District Court,5162,82.86,1.57,4.40,2.69,0.60,1.26,0.25,5.93,0.45
651,Mills County District Court,2033,96.16,0.39,0.00,0.69,0.25,0.79,0.20,1.23,0.30
661,Mitchell County District Court,860,98.14,0.23,0.00,0.12,0.35,0.47,0.00,0.58,0.12
671,Monona County District Court,1940,95.67,1.08,0.15,0.57,0.93,0.82,0.05,0.57,0.15
681,Monroe County District Court,707,98.02,0.28,0.00,0.42,0.57,0.28,0.00,0.42,0.00
691,Montgomery County District Court,1452,96.07,0.62,0.28,0.28,0.62,0.62,0.07,1.10,0.34
701,Muscatine County District Court,11980,86.67,1.83,1.75,0.93,0.35,1.73,0.11,6.11,0.52
711,O'Brien County District Court,1685,94.96,0.24,0.18,0.83,0.30,0.83,0.30,2.02,0.36
721,Osceola County District Court,1371,95.48,0.15,0.07,0.66,0.44,0.22,0.07,2.63,0.29
731,Page County District Court,1751,95.95,0.34,0.06,0.80,0.29,1.14,0.00,1.20,0.23
741,Palo Alto County District Court,1652,96.55,0.85,0.06,0.42,0.12,0.97,0.00,0.79,0.24
751,Plymouth County District Court,2769,94.22,0.98,0.22,0.76,0.29,1.08,0.36,2.02,0.07
761,Pocahontas County District Court,765,95.95,0.39,0.39,0.26,0.26,0.52,0.52,1.70,0.00
771,Polk County District Court,19037,82.59,6.57,0.26,4.75,0.29,1.86,0.13,3.18,0.36
781,Pottawattamie County District Court,11686,92.08,1.51,0.50,0.70,0.35,1.62,0.13,2.77,0.33
791,Poweshiek County District Court,1492,94.77,0.67,0.00,1.14,0.20,1.07,0.00,2.01,0.13
801,Ringgold County District Court,544,97.61,0.00,0.00,0.37,0.00,0.37,0.37,1.29,0.00
811,Sac County District Court,745,96.38,0.27,0.00,1.07,0.00,0.81,0.13,1.21,0.13
821,Scott County District Court,21066,82.98,8.09,0.41,3.00,0.46,2.44,0.11,2.16,0.34
831,Shelby County District Court,1182,96.87,0.42,0.08,0.08,0.08,0.76,0.00,1.44,0.25
841,Sioux County District Court,2335,94.09,0.47,0.47,0.86,0.17,0.47,0.04,3.30,0.13
851,Story County District Court,8614,89.04,2.16,0.20,4.89,0.20,1.54,0.12,1.52,0.34
861,Tama County District Court,1675,87.94,0.66,1.19,0.36,6.57,1.07,0.24,1.79,0.18
