court_number,court_name,multi_race_breakout,multi_race_count,hlso_ethnicity_count
061,Benton County District Court,"Multi Race Black/African American, White",1,0
061,Benton County District Court,Multi Race Other,1,1
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Asian, White",1,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, Other, Unknown, White",1,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Native Hawaiian/Other Pacific Islander",1,1
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, White",1,0
071,Black Hawk County District Court,Multi Race Asian,1,0
071,Black Hawk County District Court,"Multi Race Asian, Black/African American",1,0
071,Black Hawk County District Court,"Multi Race Asian, White",5,0
071,Black Hawk County District Court,Multi Race Black/African American,1,0
071,Black Hawk County District Court,"Multi Race Black/African American, White",25,1
071,Black Hawk County District Court,Multi Race Other,3,2
071,Black Hawk County District Court,"Multi Race Other, White",10,10
071,Black Hawk County District Court,Multi Race Unknown,1,0
071,Black Hawk County District Court,Multi Race White,4,4
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Asian, Black/African American, White",1,0
081,Boone County District Court,"Multi Race Asian, Native Hawaiian/Other Pacific Islander, Other",1,0
081,Boone County District Court,"Multi Race Asian, White",2,0
081,Boone County District Court,Multi Race White,1,1
091,Bremer County District Court,"Multi Race Black/African American, White",2,0
091,Bremer County District Court,"Multi Race Other, White",1,1
101,Buchanan County District Court,"Multi Race Asian, White",1,0
101,Buchanan County District Court,"Multi Race Black/African American, White",1,0
141,Carroll County District Court,"Multi Race American Indian/Alaskan Native, White",2,1
141,Carroll County District Court,Multi Race White,1,1
171,Cerro Gordo County District Court,"Multi Race Black/African American, White",2,0
171,Cerro Gordo County District Court,Multi Race Other,1,1
171,Cerro Gordo County District Court,"Multi Race Other, White",2,1
171,Cerro Gordo County District Court,Multi Race White,1,1
201,Clarke County District Court,"Multi Race American Indian/Alaskan Native, White",1,0
201,Clarke County District Court,"Multi Race Other, White",1,1
231,Clinton County District Court,Multi Race ,2,1
231,Clinton County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, White",1,0
231,Clinton County District Court,"Multi Race American Indian/Alaskan Native, White",1,0
231,Clinton County District Court,"Multi Race Black/African American, Other, White",1,0
231,Clinton County District Court,"Multi Race Black/African American, White",4,0
231,Clinton County District Court,"Multi Race Other, White",1,1
231,Clinton County District Court,Multi Race White,2,2
251,Dallas County District Court,"Multi Race American Indian/Alaskan Native, Unknown, White",1,0
251,Dallas County District Court,"Multi Race American Indian/Alaskan Native, White",3,0
251,Dallas County District Court,Multi Race Asian,1,1
251,Dallas County District Court,"Multi Race Asian, White",2,0
251,Dallas County District Court,"Multi Race Black/African American, White",2,0
251,Dallas County District Court,"Multi Race Other, White",2,1
251,Dallas County District Court,Multi Race Unknown,1,0
291,Des Moines County District Court,Multi Race ,1,0
291,Des Moines County District Court,"Multi Race American Indian/Alaskan Native, Other, White",1,0
291,Des Moines County District Court,"Multi Race Black/African American, White",6,1
291,Des Moines County District Court,Multi Race Other,1,1
291,Des Moines County District Court,"Multi Race Other, White",3,3
291,Des Moines County District Court,Multi Race White,2,2
311,Dubuque County District Court,"Multi Race American Indian/Alaskan Native, White",2,1
311,Dubuque County District Court,"Multi Race Asian, Black/African American, White",1,0
311,Dubuque County District Court,"Multi Race Asian, White",1,0
311,Dubuque County District Court,"Multi Race Black/African American, Other, White",1,1
311,Dubuque County District Court,"Multi Race Black/African American, White",4,1
311,Dubuque County District Court,Multi Race Other,1,0
311,Dubuque County District Court,"Multi Race Other, White",1,1
321,Emmet County District Court,"Multi Race Asian, White",1,0
321,Emmet County District Court,"Multi Race Black/African American, White",1,0
361,Fremont County District Court,"Multi Race American Indian/Alaskan Native, White",1,1
361,Fremont County District Court,"Multi Race Native Hawaiian/Other Pacific Islander, White",1,0
391,Guthrie County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, White",1,0
391,Guthrie County District Court,"Multi Race Asian, Native Hawaiian/Other Pacific Islander, Other",1,0
411,Hancock County District Court,"Multi Race American Indian/Alaskan Native, White",1,0
411,Hancock County District Court,Multi Race White,1,1
441,Henry County District Court,"Multi Race Black/African American, White",1,0
501,Jasper County District Court,"Multi Race Asian, White",1,1
501,Jasper County District Court,"Multi Race Black/African American, White",1,0
501,Jasper County District Court,"Multi Race Other, White",1,1
511,Jefferson County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, Other, White",1,1
511,Jefferson County District Court,"Multi Race American Indian/Alaskan Native, Unknown, White",1,0
511,Jefferson County District Court,"Multi Race Other, White",1,1
521,Johnson County District Court,"Multi Race American Indian/Alaskan Native, White",2,1
